group_for_pairing,Year,EEPEF
Miscellaneous marine crustaceans,1993,1.155388319
Miscellaneous marine crustaceans,1994,1.326257497
Miscellaneous marine crustaceans,1995,2.053000231
Miscellaneous marine crustaceans,1996,2.041201371
Miscellaneous marine crustaceans,1997,1.826215065
Miscellaneous marine crustaceans,1998,1.36660203
Miscellaneous marine crustaceans,1999,1.155388319
Miscellaneous marine crustaceans,2000,1.102917704
Miscellaneous marine crustaceans,2001,1.193545273
Miscellaneous marine crustaceans,2002,1.509057562
Miscellaneous marine crustaceans,2003,1.114252127
Miscellaneous marine crustaceans,2004,1.102222087
Miscellaneous marine crustaceans,2005,1.320270844
Miscellaneous marine crustaceans,2006,0.853323863
Miscellaneous marine crustaceans,2007,0.764340901
Miscellaneous marine crustaceans,2008,1.014567466
Miscellaneous marine crustaceans,2009,1.052263595
Miscellaneous marine crustaceans,2010,0.898825687
Miscellaneous marine crustaceans,2011,0.997388978
Miscellaneous marine crustaceans,2012,1.185704182
Miscellaneous marine molluscs,1976,6.508893936
Miscellaneous marine molluscs,1977,6.508893936
Miscellaneous marine molluscs,1978,6.508893936
Miscellaneous marine molluscs,1979,6.508893936
Miscellaneous marine molluscs,1980,6.508893936
Miscellaneous marine molluscs,1981,6.508893936
Miscellaneous marine molluscs,1982,6.508893936
Miscellaneous marine molluscs,1983,6.508893936
Miscellaneous marine molluscs,1984,6.508893936
Miscellaneous marine molluscs,1985,6.508893936
Miscellaneous marine molluscs,1986,6.508893936
Miscellaneous marine molluscs,1987,6.508893936
Miscellaneous marine molluscs,1988,6.508893936
Miscellaneous marine molluscs,1989,6.508893936
Miscellaneous marine molluscs,1990,6.508893936
Miscellaneous marine molluscs,1991,6.508893936
Miscellaneous marine molluscs,1992,6.508893936
Miscellaneous marine molluscs,1993,6.508893936
Miscellaneous marine molluscs,1994,5.07348342
Miscellaneous marine molluscs,1995,5.286426343
Miscellaneous marine molluscs,1996,4.170708898
Miscellaneous marine molluscs,1997,6.785650792
Miscellaneous marine molluscs,1998,6.114241742
Miscellaneous marine molluscs,1999,4.550250845
Miscellaneous marine molluscs,2000,4.840175964
Miscellaneous marine molluscs,2001,6.614043916
Miscellaneous marine molluscs,2002,4.912501121
Miscellaneous marine molluscs,2003,6.508893936
Miscellaneous marine molluscs,2004,7.595922142
Miscellaneous marine molluscs,2005,8.237611356
Miscellaneous marine molluscs,2006,5.324994797
Miscellaneous marine molluscs,2007,6.679029417
Miscellaneous marine molluscs,2008,6.347963643
Miscellaneous marine molluscs,2009,6.684995624
Miscellaneous marine molluscs,2010,7.747888103
Miscellaneous marine molluscs,2011,7.785344557
Miscellaneous marine molluscs,2012,6.812736991
Miscellaneous pelagic fishes,1976,1.703903292
Miscellaneous pelagic fishes,1977,1.703903292
Miscellaneous pelagic fishes,1978,1.703903292
Miscellaneous pelagic fishes,1979,1.703903292
Miscellaneous pelagic fishes,1980,1.703903292
Miscellaneous pelagic fishes,1981,1.703903292
Miscellaneous pelagic fishes,1982,1.703903292
Miscellaneous pelagic fishes,1983,1.703903292
Miscellaneous pelagic fishes,1984,1.703903292
Miscellaneous pelagic fishes,1985,1.703903292
Miscellaneous pelagic fishes,1986,1.703903292
Miscellaneous pelagic fishes,1987,1.703903292
Miscellaneous pelagic fishes,1988,1.703903292
Miscellaneous pelagic fishes,1989,1.703903292
Miscellaneous pelagic fishes,1990,1.703903292
Miscellaneous pelagic fishes,1991,1.703903292
Miscellaneous pelagic fishes,1992,1.703903292
Miscellaneous pelagic fishes,1993,1.703903292
Miscellaneous pelagic fishes,1994,1.170862274
Miscellaneous pelagic fishes,1995,1.267087291
Miscellaneous pelagic fishes,1996,1.475450967
Miscellaneous pelagic fishes,1997,1.582413654
Miscellaneous pelagic fishes,1998,1.498055002
Miscellaneous pelagic fishes,1999,1.368152449
Miscellaneous pelagic fishes,2000,1.366619748
Miscellaneous pelagic fishes,2001,1.466939187
Miscellaneous pelagic fishes,2002,1.56617266
Miscellaneous pelagic fishes,2003,1.703903292
Miscellaneous pelagic fishes,2004,1.97978421
Miscellaneous pelagic fishes,2005,2.153346537
Miscellaneous pelagic fishes,2006,2.087791531
Miscellaneous pelagic fishes,2007,2.355040606
Miscellaneous pelagic fishes,2008,2.671066964
Miscellaneous pelagic fishes,2009,2.543982123
Miscellaneous pelagic fishes,2010,2.819677606
Miscellaneous pelagic fishes,2011,3.462108452
Miscellaneous pelagic fishes,2012,3.03217807
Mussels,1976,4.683700216
Mussels,1977,4.683700216
Mussels,1978,4.683700216
Mussels,1979,4.683700216
Mussels,1980,4.683700216
Mussels,1981,4.683700216
Mussels,1982,4.683700216
Mussels,1983,4.683700216
Mussels,1984,4.683700216
Mussels,1985,4.683700216
Mussels,1986,4.683700216
Mussels,1987,4.683700216
Mussels,1988,4.683700216
Mussels,1989,4.683700216
Mussels,1990,4.683700216
Mussels,1991,4.683700216
Mussels,1992,4.683700216
Mussels,1993,4.683700216
Mussels,1994,3.570955194
Mussels,1995,3.457386871
Mussels,1996,2.814537593
Mussels,1997,3.461503494
Mussels,1998,3.899883601
Mussels,1999,3.752086601
Mussels,2000,3.75507051
Mussels,2001,3.986453778
Mussels,2002,4.37256089
Mussels,2003,4.683700216
Mussels,2004,4.963544805
Mussels,2005,5.56326714
Mussels,2006,5.294357313
Mussels,2007,5.943899164
Mussels,2008,6.611309092
Mussels,2009,6.073782288
Mussels,2010,5.355960168
Mussels,2011,6.906502927
Mussels,2012,5.855908646
Oysters,1976,5.034839879
Oysters,1977,5.034839879
Oysters,1978,5.034839879
Oysters,1979,5.034839879
Oysters,1980,5.034839879
Oysters,1981,5.034839879
Oysters,1982,5.034839879
Oysters,1983,5.034839879
Oysters,1984,5.034839879
Oysters,1985,5.034839879
Oysters,1986,5.034839879
Oysters,1987,5.034839879
Oysters,1988,5.034839879
Oysters,1989,5.034839879
Oysters,1990,5.034839879
Oysters,1991,5.034839879
Oysters,1992,5.034839879
Oysters,1993,5.034839879
Oysters,1994,6.30842615
Oysters,1995,7.686391885
Oysters,1996,6.905049925
Oysters,1997,4.994663527
Oysters,1998,5.433610704
Oysters,1999,5.736780184
Oysters,2000,5.589313362
Oysters,2001,5.034839879
Oysters,2002,3.872780025
Oysters,2003,4.141255903
Oysters,2004,4.550448727
Oysters,2005,4.605206774
Oysters,2006,4.991509395
Oysters,2007,4.811747141
Oysters,2008,4.689616094
Oysters,2009,4.89014082
Oysters,2010,6.125550629
Oysters,2011,6.840667733
Oysters,2012,6.377765948
River eels,1976,2.799220792
River eels,1977,2.799220792
River eels,1978,2.799220792
River eels,1979,2.799220792
River eels,1980,2.799220792
River eels,1981,2.799220792
River eels,1982,2.799220792
River eels,1983,2.799220792
River eels,1984,2.799220792
River eels,1985,2.799220792
River eels,1986,2.799220792
River eels,1987,2.799220792
River eels,1988,2.799220792
River eels,1989,2.799220792
River eels,1990,2.799220792
River eels,1991,2.799220792
River eels,1992,2.799220792
River eels,1993,2.799220792
River eels,1994,2.898786153
River eels,1995,3.003993472
River eels,1996,3.224352963
River eels,1997,3.486572656
River eels,1998,2.713675401
River eels,1999,2.448779961
River eels,2000,2.250993463
River eels,2001,1.796453434
River eels,2002,1.835699574
River eels,2003,1.899399689
River eels,2004,2.523154743
River eels,2005,2.925870272
River eels,2006,2.792354502
River eels,2007,2.805776686
River eels,2008,2.799220792
River eels,2009,2.315149791
River eels,2010,3.043872982
River eels,2011,4.33684946
River eels,2012,4.54527169
"Salmons, trouts, smelts",1976,1.809520229
"Salmons, trouts, smelts",1977,1.809520229
"Salmons, trouts, smelts",1978,1.809520229
"Salmons, trouts, smelts",1979,1.809520229
"Salmons, trouts, smelts",1980,1.809520229
"Salmons, trouts, smelts",1981,1.809520229
"Salmons, trouts, smelts",1982,1.809520229
"Salmons, trouts, smelts",1983,1.809520229
"Salmons, trouts, smelts",1984,1.809520229
"Salmons, trouts, smelts",1985,1.809520229
"Salmons, trouts, smelts",1986,1.809520229
"Salmons, trouts, smelts",1987,1.809520229
"Salmons, trouts, smelts",1988,1.809520229
"Salmons, trouts, smelts",1989,1.809520229
"Salmons, trouts, smelts",1990,1.809520229
"Salmons, trouts, smelts",1991,1.809520229
"Salmons, trouts, smelts",1992,1.809520229
"Salmons, trouts, smelts",1993,1.809520229
"Salmons, trouts, smelts",1994,2.054430701
"Salmons, trouts, smelts",1995,2.194718758
"Salmons, trouts, smelts",1996,2.046853535
"Salmons, trouts, smelts",1997,1.691572263
"Salmons, trouts, smelts",1998,1.742831757
"Salmons, trouts, smelts",1999,1.827185777
"Salmons, trouts, smelts",2000,1.583973945
"Salmons, trouts, smelts",2001,1.414127407
"Salmons, trouts, smelts",2002,1.497394229
"Salmons, trouts, smelts",2003,1.59497409
"Salmons, trouts, smelts",2004,1.602906401
"Salmons, trouts, smelts",2005,1.733644665
"Salmons, trouts, smelts",2006,2.018863025
"Salmons, trouts, smelts",2007,1.879878241
"Salmons, trouts, smelts",2008,1.874071855
"Salmons, trouts, smelts",2009,1.809520229
"Salmons, trouts, smelts",2010,2.102052516
"Salmons, trouts, smelts",2011,1.925877968
"Salmons, trouts, smelts",2012,1.684566827
"Scallops, pectens",1976,5.120593824
"Scallops, pectens",1977,5.120593824
"Scallops, pectens",1978,5.120593824
"Scallops, pectens",1979,5.120593824
"Scallops, pectens",1980,5.120593824
"Scallops, pectens",1981,5.120593824
"Scallops, pectens",1982,5.120593824
"Scallops, pectens",1983,5.120593824
"Scallops, pectens",1984,5.120593824
"Scallops, pectens",1985,5.120593824
"Scallops, pectens",1986,5.120593824
"Scallops, pectens",1987,5.120593824
"Scallops, pectens",1988,5.120593824
"Scallops, pectens",1989,5.120593824
"Scallops, pectens",1990,5.120593824
"Scallops, pectens",1991,5.120593824
"Scallops, pectens",1992,5.120593824
"Scallops, pectens",1993,5.120593824
"Scallops, pectens",1994,4.24814608
"Scallops, pectens",1995,4.730697526
"Scallops, pectens",1996,5.315884879
"Scallops, pectens",1997,5.084435409
"Scallops, pectens",1998,5.546047493
"Scallops, pectens",1999,4.502728617
"Scallops, pectens",2000,4.329773367
"Scallops, pectens",2001,4.325773584
"Scallops, pectens",2002,4.299597773
"Scallops, pectens",2003,5.076373327
"Scallops, pectens",2004,5.204101388
"Scallops, pectens",2005,5.871545839
"Scallops, pectens",2006,5.956798795
"Scallops, pectens",2007,5.532958679
"Scallops, pectens",2008,5.34020681
"Scallops, pectens",2009,5.120593824
"Scallops, pectens",2010,4.978022321
"Scallops, pectens",2011,5.745198249
"Scallops, pectens",2012,5.851215227
Sea-urchins and other echinoderms,1976,6.152623719
Sea-urchins and other echinoderms,1977,6.152623719
Sea-urchins and other echinoderms,1978,6.152623719
Sea-urchins and other echinoderms,1979,6.152623719
Sea-urchins and other echinoderms,1980,6.152623719
Sea-urchins and other echinoderms,1981,6.152623719
Sea-urchins and other echinoderms,1982,6.152623719
Sea-urchins and other echinoderms,1983,6.152623719
Sea-urchins and other echinoderms,1984,6.152623719
Sea-urchins and other echinoderms,1985,6.152623719
Sea-urchins and other echinoderms,1986,6.152623719
Sea-urchins and other echinoderms,1987,6.152623719
Sea-urchins and other echinoderms,1988,6.152623719
Sea-urchins and other echinoderms,1989,6.152623719
Sea-urchins and other echinoderms,1990,6.152623719
Sea-urchins and other echinoderms,1991,6.152623719
Sea-urchins and other echinoderms,1992,6.152623719
Sea-urchins and other echinoderms,1993,6.152623719
Sea-urchins and other echinoderms,1994,5.826147686
Sea-urchins and other echinoderms,1995,5.789264388
Sea-urchins and other echinoderms,1996,5.582327087
Sea-urchins and other echinoderms,1997,5.316455755
Sea-urchins and other echinoderms,1998,5.5103361
Sea-urchins and other echinoderms,1999,6.152623719
Sea-urchins and other echinoderms,2000,6.129604869
Sea-urchins and other echinoderms,2001,5.757227546
Sea-urchins and other echinoderms,2002,6.281470129
Sea-urchins and other echinoderms,2003,6.306165444
Sea-urchins and other echinoderms,2004,6.840086876
Sea-urchins and other echinoderms,2005,6.712514207
Sea-urchins and other echinoderms,2006,6.639514851
Sea-urchins and other echinoderms,2007,6.446411318
Sea-urchins and other echinoderms,2008,6.739693367
Sea-urchins and other echinoderms,2009,6.480504803
Sea-urchins and other echinoderms,2010,4.147658801
Sea-urchins and other echinoderms,2011,6.132112689
Sea-urchins and other echinoderms,2012,6.948597398
Shads,1976,1.179384361
Shads,1977,1.179384361
Shads,1978,1.179384361
Shads,1979,1.179384361
Shads,1980,1.179384361
Shads,1981,1.179384361
Shads,1982,1.179384361
Shads,1983,1.179384361
Shads,1984,1.179384361
Shads,1985,1.179384361
Shads,1986,1.179384361
Shads,1987,1.179384361
Shads,1988,1.179384361
Shads,1989,1.179384361
Shads,1990,1.179384361
Shads,1991,1.179384361
Shads,1992,1.179384361
Shads,1993,1.179384361
Shads,1994,0.55809139
Shads,1995,0.636879634
Shads,1996,0.434927776
Shads,1997,0.671519251
Shads,1998,0.693000693
Shads,1999,0.348240469
Shads,2000,1.242236025
Shads,2001,3.880070547
Shads,2002,2.188709462
Shads,2003,1.263157895
Shads,2004,2.381380302
Shads,2005,0.552908113
Shads,2006,0.611265129
Shads,2007,0.920060332
Shads,2008,1.179384361
Shads,2009,1.191243744
Shads,2010,8.153477218
Shads,2011,8.333333333
Shads,2012,1.869839728
"Sharks, rays, chimaeras",1976,4.306639276
"Sharks, rays, chimaeras",1977,4.306639276
"Sharks, rays, chimaeras",1978,4.306639276
"Sharks, rays, chimaeras",1979,4.306639276
"Sharks, rays, chimaeras",1980,4.306639276
"Sharks, rays, chimaeras",1981,4.306639276
"Sharks, rays, chimaeras",1982,4.306639276
"Sharks, rays, chimaeras",1983,4.306639276
"Sharks, rays, chimaeras",1984,4.306639276
"Sharks, rays, chimaeras",1985,4.306639276
"Sharks, rays, chimaeras",1986,4.306639276
"Sharks, rays, chimaeras",1987,4.306639276
"Sharks, rays, chimaeras",1988,4.306639276
"Sharks, rays, chimaeras",1989,4.306639276
"Sharks, rays, chimaeras",1990,4.306639276
"Sharks, rays, chimaeras",1991,4.306639276
"Sharks, rays, chimaeras",1992,4.306639276
"Sharks, rays, chimaeras",1993,4.306639276
"Sharks, rays, chimaeras",1994,4.004990955
"Sharks, rays, chimaeras",1995,3.947324498
"Sharks, rays, chimaeras",1996,4.758086763
"Sharks, rays, chimaeras",1997,4.306639276
"Sharks, rays, chimaeras",1998,4.449189913
"Sharks, rays, chimaeras",1999,4.253461765
"Sharks, rays, chimaeras",2000,4.63390322
"Sharks, rays, chimaeras",2001,4.032107149
"Sharks, rays, chimaeras",2002,3.739258312
"Sharks, rays, chimaeras",2003,3.996482802
"Sharks, rays, chimaeras",2004,4.121033758
"Sharks, rays, chimaeras",2005,4.119210407
"Sharks, rays, chimaeras",2006,4.402117471
"Sharks, rays, chimaeras",2007,4.513237035
"Sharks, rays, chimaeras",2008,4.493677211
"Sharks, rays, chimaeras",2009,4.140241739
"Sharks, rays, chimaeras",2010,4.809908883
"Sharks, rays, chimaeras",2011,6.189242628
"Sharks, rays, chimaeras",2012,5.10413845
"Shrimps, prawns",1976,1.784170507
"Shrimps, prawns",1977,1.784170507
"Shrimps, prawns",1978,1.784170507
"Shrimps, prawns",1979,1.784170507
"Shrimps, prawns",1980,1.784170507
"Shrimps, prawns",1981,1.784170507
"Shrimps, prawns",1982,1.784170507
"Shrimps, prawns",1983,1.784170507
"Shrimps, prawns",1984,1.784170507
"Shrimps, prawns",1985,1.784170507
"Shrimps, prawns",1986,1.784170507
"Shrimps, prawns",1987,1.784170507
"Shrimps, prawns",1988,1.784170507
"Shrimps, prawns",1989,1.784170507
"Shrimps, prawns",1990,1.784170507
"Shrimps, prawns",1991,1.784170507
"Shrimps, prawns",1992,1.784170507
"Shrimps, prawns",1993,1.784170507
"Shrimps, prawns",1994,1.897158586
"Shrimps, prawns",1995,2.120530816
"Shrimps, prawns",1996,1.981968126
"Shrimps, prawns",1997,1.99137956
"Shrimps, prawns",1998,1.834544425
"Shrimps, prawns",1999,1.873059151
"Shrimps, prawns",2000,1.973324733
"Shrimps, prawns",2001,1.78121529
"Shrimps, prawns",2002,1.710607934
"Shrimps, prawns",2003,1.726700705
"Shrimps, prawns",2004,1.713489538
"Shrimps, prawns",2005,1.641781753
"Shrimps, prawns",2006,1.642771275
"Shrimps, prawns",2007,1.650574936
"Shrimps, prawns",2008,1.752896897
"Shrimps, prawns",2009,1.751640822
"Shrimps, prawns",2010,1.784170507
"Shrimps, prawns",2011,1.926283893
"Shrimps, prawns",2012,1.96003829
"Squids, cuttlefishes, octopuses",1976,1.38484355
"Squids, cuttlefishes, octopuses",1977,1.38484355
"Squids, cuttlefishes, octopuses",1978,1.38484355
"Squids, cuttlefishes, octopuses",1979,1.38484355
"Squids, cuttlefishes, octopuses",1980,1.38484355
"Squids, cuttlefishes, octopuses",1981,1.38484355
"Squids, cuttlefishes, octopuses",1982,1.38484355
"Squids, cuttlefishes, octopuses",1983,1.38484355
"Squids, cuttlefishes, octopuses",1984,1.38484355
"Squids, cuttlefishes, octopuses",1985,1.38484355
"Squids, cuttlefishes, octopuses",1986,1.38484355
"Squids, cuttlefishes, octopuses",1987,1.38484355
"Squids, cuttlefishes, octopuses",1988,1.38484355
"Squids, cuttlefishes, octopuses",1989,1.38484355
"Squids, cuttlefishes, octopuses",1990,1.38484355
"Squids, cuttlefishes, octopuses",1991,1.38484355
"Squids, cuttlefishes, octopuses",1992,1.38484355
"Squids, cuttlefishes, octopuses",1993,1.38484355
"Squids, cuttlefishes, octopuses",1994,1.182484501
"Squids, cuttlefishes, octopuses",1995,1.21950045
"Squids, cuttlefishes, octopuses",1996,1.284794554
"Squids, cuttlefishes, octopuses",1997,1.23424266
"Squids, cuttlefishes, octopuses",1998,1.267961065
"Squids, cuttlefishes, octopuses",1999,1.349709956
"Squids, cuttlefishes, octopuses",2000,1.41925798
"Squids, cuttlefishes, octopuses",2001,1.220711731
"Squids, cuttlefishes, octopuses",2002,1.246067808
"Squids, cuttlefishes, octopuses",2003,1.414738906
"Squids, cuttlefishes, octopuses",2004,1.38484355
"Squids, cuttlefishes, octopuses",2005,1.429131906
"Squids, cuttlefishes, octopuses",2006,1.362224726
"Squids, cuttlefishes, octopuses",2007,1.411355449
"Squids, cuttlefishes, octopuses",2008,1.442784175
"Squids, cuttlefishes, octopuses",2009,1.421942042
"Squids, cuttlefishes, octopuses",2010,1.619194113
"Squids, cuttlefishes, octopuses",2011,1.918270665
"Squids, cuttlefishes, octopuses",2012,1.93228488
"Sturgeons, paddlefishes",1976,23.13445258
"Sturgeons, paddlefishes",1977,23.13445258
"Sturgeons, paddlefishes",1978,23.13445258
"Sturgeons, paddlefishes",1979,23.13445258
"Sturgeons, paddlefishes",1980,23.13445258
"Sturgeons, paddlefishes",1981,23.13445258
"Sturgeons, paddlefishes",1982,23.13445258
"Sturgeons, paddlefishes",1983,23.13445258
"Sturgeons, paddlefishes",1984,23.13445258
"Sturgeons, paddlefishes",1985,23.13445258
"Sturgeons, paddlefishes",1986,23.13445258
"Sturgeons, paddlefishes",1987,23.13445258
"Sturgeons, paddlefishes",1988,23.13445258
"Sturgeons, paddlefishes",1989,23.13445258
"Sturgeons, paddlefishes",1990,23.13445258
"Sturgeons, paddlefishes",1991,23.13445258
"Sturgeons, paddlefishes",1992,23.13445258
"Sturgeons, paddlefishes",1993,23.13445258
"Sturgeons, paddlefishes",1994,14.8247932
"Sturgeons, paddlefishes",1995,15.84924684
"Sturgeons, paddlefishes",1996,18.78888703
"Sturgeons, paddlefishes",1997,15.93835661
"Sturgeons, paddlefishes",1998,19.32054518
"Sturgeons, paddlefishes",1999,24.50886484
"Sturgeons, paddlefishes",2000,23.13445258
"Sturgeons, paddlefishes",2001,29.60091991
"Sturgeons, paddlefishes",2002,35.13458012
"Sturgeons, paddlefishes",2003,44.81065709
"Sturgeons, paddlefishes",2004,33.57529916
"Sturgeons, paddlefishes",2005,39.85841461
"Sturgeons, paddlefishes",2006,54.69287899
"Sturgeons, paddlefishes",2007,25.65768687
"Sturgeons, paddlefishes",2008,40.17393715
"Sturgeons, paddlefishes",2009,6.499657293
"Sturgeons, paddlefishes",2010,21.37755546
"Sturgeons, paddlefishes",2011,13.54231166
"Sturgeons, paddlefishes",2012,6.612745908
Tilapias and other cichlids,1976,2.088128733
Tilapias and other cichlids,1977,2.088128733
Tilapias and other cichlids,1978,2.088128733
Tilapias and other cichlids,1979,2.088128733
Tilapias and other cichlids,1980,2.088128733
Tilapias and other cichlids,1981,2.088128733
Tilapias and other cichlids,1982,2.088128733
Tilapias and other cichlids,1983,2.088128733
Tilapias and other cichlids,1984,2.088128733
Tilapias and other cichlids,1985,2.088128733
Tilapias and other cichlids,1986,2.088128733
Tilapias and other cichlids,1987,2.088128733
Tilapias and other cichlids,1988,2.088128733
Tilapias and other cichlids,1989,2.088128733
Tilapias and other cichlids,1990,2.088128733
Tilapias and other cichlids,1991,2.088128733
Tilapias and other cichlids,1992,2.088128733
Tilapias and other cichlids,1993,2.088128733
Tilapias and other cichlids,1994,2.113684733
Tilapias and other cichlids,1995,2.446619217
Tilapias and other cichlids,1996,1.655119252
Tilapias and other cichlids,1997,1.18953014
Tilapias and other cichlids,1998,1.103872969
Tilapias and other cichlids,1999,1.586322352
Tilapias and other cichlids,2000,1.634544426
Tilapias and other cichlids,2001,1.360529971
Tilapias and other cichlids,2002,1.581124411
Tilapias and other cichlids,2003,1.679340544
Tilapias and other cichlids,2004,1.748830233
Tilapias and other cichlids,2005,2.088128733
Tilapias and other cichlids,2006,2.250525823
Tilapias and other cichlids,2007,2.306147926
Tilapias and other cichlids,2008,3.152121683
Tilapias and other cichlids,2009,2.889191502
Tilapias and other cichlids,2010,3.064637514
Tilapias and other cichlids,2011,3.367037163
Tilapias and other cichlids,2012,3.270058834
"Tunas, bonitos, billfishes",1976,1.619133647
"Tunas, bonitos, billfishes",1977,1.619133647
"Tunas, bonitos, billfishes",1978,1.619133647
"Tunas, bonitos, billfishes",1979,1.619133647
"Tunas, bonitos, billfishes",1980,1.619133647
"Tunas, bonitos, billfishes",1981,1.619133647
"Tunas, bonitos, billfishes",1982,1.619133647
"Tunas, bonitos, billfishes",1983,1.619133647
"Tunas, bonitos, billfishes",1984,1.619133647
"Tunas, bonitos, billfishes",1985,1.619133647
"Tunas, bonitos, billfishes",1986,1.619133647
"Tunas, bonitos, billfishes",1987,1.619133647
"Tunas, bonitos, billfishes",1988,1.619133647
"Tunas, bonitos, billfishes",1989,1.619133647
"Tunas, bonitos, billfishes",1990,1.619133647
"Tunas, bonitos, billfishes",1991,1.619133647
"Tunas, bonitos, billfishes",1992,1.619133647
"Tunas, bonitos, billfishes",1993,1.619133647
"Tunas, bonitos, billfishes",1994,1.480635164
"Tunas, bonitos, billfishes",1995,1.437398017
"Tunas, bonitos, billfishes",1996,1.544270788
"Tunas, bonitos, billfishes",1997,1.672295194
"Tunas, bonitos, billfishes",1998,1.619133647
"Tunas, bonitos, billfishes",1999,1.619953359
"Tunas, bonitos, billfishes",2000,1.524074054
"Tunas, bonitos, billfishes",2001,1.618531243
"Tunas, bonitos, billfishes",2002,1.583157199
"Tunas, bonitos, billfishes",2003,1.49598
"Tunas, bonitos, billfishes",2004,1.634351842
"Tunas, bonitos, billfishes",2005,1.646079879
"Tunas, bonitos, billfishes",2006,1.620623365
"Tunas, bonitos, billfishes",2007,1.743716046
"Tunas, bonitos, billfishes",2008,2.005760181
"Tunas, bonitos, billfishes",2009,1.830222272
"Tunas, bonitos, billfishes",2010,1.5681367
"Tunas, bonitos, billfishes",2011,1.593352258
"Tunas, bonitos, billfishes",2012,1.705888637
